Date,Water Usage
2022-08-01,61.09823225883064
2022-08-02,62.3666155680906
2022-08-03,119.62699308150236
2022-08-04,35.176047386609355
2022-08-05,56.942266416622886
2022-08-06,52.74672827628134
2022-08-07,48.16414107326193
2022-08-08,83.94664217358519
2022-08-09,53.52276987917409
2022-08-10,87.68749709413324
2022-08-11,29.013507282349448
2022-08-12,34.49166157715299
2022-08-13,61.827978511372145
2022-08-14,37.31912713835644
2022-08-15,96.58900888079164
2022-08-16,37.505780393852255
2022-08-17,85.4190629613074
2022-08-18,56.75115765457409
2022-08-19,77.65042435365272
2022-08-20,31.399601848789576
2022-08-21,46.64723772623888
2022-08-22,43.98604133513766
2022-08-23,88.15812018377468
2022-08-24,54.05572396424907
2022-08-25,33.287702242457115
2022-08-26,76.38034925039133
2022-08-27,80.7667736946673
2022-08-28,45.80017789645805
2022-08-29,77.43504326325899
2022-08-30,26.15437607751414
2022-08-31,76.13802603844567
2022-09-01,53.612838802440514
2022-09-02,75.30396307743814
2022-09-03,51.109010689919096
2022-09-04,31.286898922097475
2022-09-05,64.22268959845678
2022-09-06,50.4691134564553
2022-09-07,67.03855169126344
2022-09-08,47.70935863946537
2022-09-09,74.28185934379209
2022-09-10,47.16710921280245
2022-09-11,62.845832892209515
2022-09-12,75.75217153685846
2022-09-13,26.984320350266817
2022-09-14,51.85078667557779
2022-09-15,45.07209141592793
2022-09-16,46.29764949088438
2022-09-17,67.3162353739153
2022-09-18,55.30932966167946
2022-09-19,28.25184395539418
2022-09-20,66.7262150222263
2022-09-21,53.49037860235429
2022-09-22,25.07216437278175
2022-09-23,39.10170057078868
2022-09-24,31.93312421391314
2022-09-25,45.03566708756218
2022-09-26,85.11651237797501
2022-09-27,44.40289200717145
2022-09-28,62.409840417927754
2022-09-29,40.48842051158263
2022-09-30,35.847834625885554
2022-10-01,32.01651296783297
2022-10-02,53.88523084158636
2022-10-03,3.3995713591714436
2022-10-04,56.096891305183654
2022-10-05,68.8156938711497
2022-10-06,63.32461374127569
2022-10-07,68.78801814299575
2022-10-08,22.22845558036954
2022-10-09,65.94479258545607
2022-10-10,57.77243757979004
2022-10-11,39.96046530320401
2022-10-12,77.02152876140025
2022-10-13,60.88727199246481
2022-10-14,63.35174045091717
2022-10-15,54.12479160466102
2022-10-16,33.67805495635604
2022-10-17,16.81408843655977
2022-10-18,98.99113229332762
2022-10-19,56.40829710445582
2022-10-20,30.272732740824182
2022-10-21,52.00866182350168
2022-10-22,45.00051716083538
2022-10-23,37.09320665486442
2022-10-24,33.48215066310303
2022-10-25,68.92359588844477
2022-10-26,44.297119079220295
2022-10-27,24.46178501143799
2022-10-28,44.067351073452556
2022-10-29,57.020272676947066
2022-10-30,55.04580806171461
2022-10-31,59.85178809196947
2022-11-01,72.35620875559775
2022-11-02,53.09527171380709
2022-11-03,71.54586372939606
2022-11-04,61.94512264915644
2022-11-05,43.24817119795113
2022-11-06,56.893603264970125
2022-11-07,69.1509159274916
2022-11-08,42.34522545764159
2022-11-09,100.78383075201174
2022-11-10,50.0185687259096
2022-11-11,53.889264488000826
2022-11-12,0.0
2022-11-13,20.65533785840156
2022-11-14,52.806111433307954
2022-11-15,40.72831890740784
2022-11-16,57.73743002868342
2022-11-17,55.5695878904173
2022-11-18,42.08776387275553
2022-11-19,41.37654668448106
2022-11-20,73.35535144259808
2022-11-21,69.62525755299774
2022-11-22,59.08854000691737
2022-11-23,58.61610932323122
2022-11-24,31.839300412414417
2022-11-25,96.52472489994484
2022-11-26,23.850894322326912
2022-11-27,41.63212447229684
2022-11-28,66.09494751609324
2022-11-29,57.60292082294208
2022-11-30,41.900023754574285
2022-12-01,46.3237074399439
2022-12-02,39.542147139645415
2022-12-03,27.552256879504718
2022-12-04,43.59481061074228
2022-12-05,39.82901742583984
2022-12-06,40.32532937636393
2022-12-07,67.83076003339494
2022-12-08,34.57676200025325
2022-12-09,58.16553117985349
2022-12-10,66.36410084117344
2022-12-11,41.57437185709477
2022-12-12,42.83921468710637
2022-12-13,57.568475677757974
2022-12-14,63.526791975539965
2022-12-15,50.81892163195629
2022-12-16,71.05357393368347
2022-12-17,76.89642600062936
2022-12-18,38.471485896621644
2022-12-19,63.731051414375344
2022-12-20,97.7589510507867
